Question ID,Domain,Type,Difficulty,Question,Ideal Answer,Keywords
1000,Manual,Technical,Hard,What is the difference between severity and priority?,"Severity relates to impact, priority relates to urgency for fixing.","between, difference, priority, severity, what"
1001,Automation,HR,Medium,How do you stay updated with automation tools?,"Mention learning platforms, webinars, practice projects.","automation, stay, tools, updated, with"
1002,Manual,HR,Medium,Describe a time when you missed a bug. What did you learn?,STAR format answer with a focus on responsibility and learning.,"bug, describe, learn, missed, time, what, when"
1003,Manual,Technical,Hard,What is exploratory testing?,"Exploratory testing involves simultaneous learning, test design, and execution.","exploratory, testing, what"
1004,Manual,HR,Hard,Have you ever disagreed with a developer about a bug?,Use a situation where communication and evidence resolved conflict.,"about, bug, developer, disagreed, ever, have, with"
1005,Automation,Technical,Hard,Is Java platform independent?,Yes. Java is a platform independent language. We can write java code on one platform and run it on another platform. For e.g. we can write and compile the code on windows and can run the generated bytecode on Linux or any other supported platform. This is one of the main features of java.,"does, selenium, webdriver, work"
1006,Manual,HR,Easy,How do you handle repetitive testing tasks?,"Discuss mindset, using tools/scripts if allowed, and maintaining focus.","handle, repetitive, tasks, testing"
1007,Manual,Technical,Easy,What is the difference between severity and priority?,"Severity relates to impact, priority relates to urgency for fixing.","between, difference, priority, severity, what"
1008,Automation,HR,Easy,Have you ever automated a process from scratch?,"STAR format showing initiative, planning, execution, results.","automated, ever, from, have, process, scratch"
1009,Automation,Technical,Medium,What all memory areas are allocated by JVM?,"Classloader, Class area, Heap, Stack, Program Counter Register and Native Method Stack","explain, model, object, page, selenium"
1010,Manual,Technical,Medium,What is regression testing?,Testing to confirm that recent changes haven't adversely affected existing features.,"regression, testing, what"
1011,Manual,Technical,Easy,Explain the defect life cycle.,It refers to the stages a defect goes through from discovery to closure.,"cycle, defect, explain, life"
1012,Automation,HR,Easy,How do you prioritize test automation in a project?,"Talk about ROI, frequency of use, stability of features.","automation, prioritize, project, test"
1013,Automation,Technical,Hard,Explain public static void main(String args[]),"Here public is an access modifier, which means that this method is accessible by any class.
static – static keyword tells that this method can be accessed without creating the instance of the class. Refer: Static keyword in java
void – this main method returns no value. main – It is the name of the method.
String args[] – The args is an array of String type. This contains the command line arguments that we can pass while running the program.","automation, challenges, some, test, what"
1014,Automation,Technical,Easy,What is javac ?,The javac is a compiler that compiles the source code of your program and generates bytecode. In simple words javac produces the java byte code from the source code written *.java file. JVM executes the bytecode to run the program.,"automation, framework, test, what"
1015,Automation,Technical,Medium,What is class?,A class is a blueprint or template or prototype from which you can create the object of that class. A class has set of properties and methods that are common to its objects.,"automation, have, tools, used, what, why"
1016,Manual,Technical,Easy,How do you write test cases?,"By identifying test scenarios, writing steps, expected results, and mapping them to requirements.","cases, test, write"
1017,Manual,HR,Medium,What methodology do you follow for test planning?,"Describe test planning phases, requirement analysis, risk assessment, and test strategy development.","follow, methodology, planning, test, what"
1018,Automation,Technical,Medium,What is a wrapper class in Java?,"A wrapper class converts the primitive data type such as int, byte, char, boolean etc. to the objects of their respective classes such as Integer, Byte, Character, Boolean etc. Refer: Wrapper class in Java","between, difference, junit, testng, what"
1019,Manual,Technical,Hard,How do you implement risk-based testing?,"Identify risks, prioritize based on impact/probability, and allocate testing effort accordingly.","how, implement, risk-based, testing"
1020,Automation,HR,Hard,Tell me about a time you improved test automation efficiency.,"STAR format showing problem identification, solution implementation, and measurable results.","about, automation, efficiency, improved, tell, test, time"
1021,Manual,Technical,Medium,What is usability testing and how is it performed?,"Evaluating product ease of use through user observation, tasks, and feedback collection.","how, performed, testing, usability, what"
1022,Automation,Technical,Hard,What is a path and classPath in Java?,Path specifies the location of .exe files. Classpath specifies the location of bytecode (.class files).,"automation, design, framework, from, how, scratch, test, would"
1023,Manual,HR,Easy,What strategies do you use to stay focused during testing?,"Mention task organization, breaks, variation in testing approaches, and setting goals.","during, focused, stay, strategies, testing, use, what"
1024,Automation,Technical,Medium,Different Data types in Java.,"byte – 8 bit
short – 16 bit
char – 16 bit Unicode
int – 32 bit (whole number) float – 32 bit (real number) long – 64 bit (Single precision)
double – 64 bit (double precision)","data-driven, testing, use, what, when, would"
1025,Manual,Technical,Easy,What is boundary value analysis?,"Testing values at boundaries of input domains, like minimum, maximum, and just outside valid ranges.","analysis, boundary, value, what"
1026,Automation,HR,Medium,How do you collaborate with developers in an Agile environment?,"Discuss early involvement, daily communication, quick bug reporting, and joint problem-solving.","agile, collaborate, developers, environment, how, with"
1027,Manual,Technical,Medium,What is the difference between functional and non-functional testing?,"Functional verifies features, non-functional tests performance, security, usability, etc.","between, difference, functional, non-functional, testing, what"
1028,Automation,Technical,Hard,What is Unicode?,Java uses Unicode to represent the characters. Unicode defines a fully international character set that can represent all of the characters found in human languages.,"ci/cd, how, relate, test automation, to, what"
1029,Manual,HR,Hard,How would you build a QA team from scratch?,"Cover recruitment, process establishment, tool selection, and quality culture development.","build, from, how, qa, scratch, team, would"
1030,Automation,Technical,Easy,What are Literals?,"Any constant value that is assigned to a variable is called literal in Java. For example –
// Here 101 is a literal int num = 101","harness, test, what"
1031,Manual,Technical,Hard,What is mutation testing?,Testing where code is deliberately altered to verify if tests can detect the changes.,"mutation, testing, what"
1032,Automation,HR,Hard,How do you justify the cost of test automation to management?,"Present ROI analysis, time savings, increased coverage, and reduced regression testing costs.","automation, cost, how, justify, management, test, to"
1033,Manual,Technical,Medium,What is the difference between black box and white box testing?,"Black box tests functionality without code knowledge, white box examines internal code structure.","between, black, box, difference, testing, what, white"
1034,Automation,Technical,Medium,What is Type casting in Java?,"When we assign a value of one data type to the different data type then these two data types may not be compatible and needs a conversion. If the data types are compatible (for example assigning int value to long) then java does automatic conversion and does not require casting. However if the data types are not compatible then they need to be casted for conversion.
For example:
//here in the brackets we have mentioned long keyword, this is casting double num = 10001.99;
long num2 = (long)num;","automation, dynamic, elements, handle, how, web"
1035,Manual,HR,Easy,How do you keep test documentation updated?,"Regular reviews, consistent update processes, automation where possible, and team collaboration.","documentation, how, keep, test, updated"
1036,Automation,HR,Medium,What techniques do you use to improve test coverage?,"Discuss test design techniques, requirements traceability, risk analysis, and coverage metrics.","coverage, improve, techniques, test, use, what"
1037,Manual,Technical,Easy,What is equivalence partitioning?,Dividing input data into valid and invalid partitions to reduce test cases while maintaining coverage.,"equivalence, partitioning, what"
1038,Automation,Technical,Hard,What is an Array?,An array is a collection (group) of fixed number of items. Array is a homogeneous data structure which means we can store multiple values of same type in an array but it can’t contain multiple values of different types. For example an array of int type can only hold integer values.,"automation, cross-browser, how, implement, testing"
1039,Manual,HR,Medium,An array is a collection (group) of fixed number of items. Array is a homogeneous data structure which means we can store multiple values of same type in an array but it can’t contain multiple values of different types. For example an array of int type can only hold integer values.,"Consider impact, frequency, visibility to users, and project timelines.","defects, first, fix, how, prioritize, to, which"
1040,Automation,Technical,Medium,What is BREAK statement in java?,The break statement is used to break the flow sequence in Java.,"bdd, cucumber, how, in, is, used, what"
1041,Manual,Technical,Medium,What is state transition testing?,break statement is generally used with switch case data structure to come out of the statement once a case is executed.,"state, testing, transition, what"
1042,Automation,HR,Easy,What criteria do you use to determine if a test should be automated?,It can be used to come out of the loop in Java,"automated, criteria, determine, if, should, test, use, what"
1043,Manual,HR,Hard,How do you improve testing efficiency with limited resources?,"Prioritize tests, automate wisely, use exploratory testing, and focus on high-risk areas.","efficiency, how, improve, limited, resources, testing, with"
1044,Automation,Technical,Hard,Four main principles of OOPS Concepts?,"Inheritance
Polymorphism Data Encapsulation Abstraction","automation, data, handle, how, management, test"
1045,Manual,Technical,Hard,What is the difference between verification and validation?,"Verification checks if product meets specifications, validation checks if it satisfies user needs.","between, difference, validation, verification, what"
1046,Automation,HR,Medium,How do you measure the effectiveness of your automation efforts?,"Metrics like test coverage, execution time, defect detection rate, and maintenance effort.","automation, effectiveness, efforts, how, measure, of, your"
1047,Manual,Technical,Medium,What is a traceability matrix and why is it important?,"Document linking requirements to test cases, ensuring complete test coverage of requirements.","important, is, matrix, traceability, what, why"
1048,Automation,Technical,Easy,What is inheritance?,The process by which one class acquires the properties and functionalities of another class is called inheritance. Inheritance brings reusability of code in a java application. Refer: Guide to Inheritance in Java.,"between, difference, explicit, implicit, selenium, waits, what"
1049,Manual,HR,Easy,How do you handle unclear requirements when testing?,"Ask questions, document assumptions, create test cases based on best understanding, and verify.","handle, how, requirements, testing, unclear, when"
1050,Automation,Technical,Medium,What is Polymorphism and what are the types of it?,Polymorphism is the ability of an object to take many forms. The most common use of polymorphism in OOPs is to have more than one method with the same name in a single class. There are two types of polymorphism: static polymorphism and dynamic polymorphism. Refer these guides to understand the polymorphism concept in detail: 1) Java Polymorphism 2) Types of Polymorphism,"automation, parameterization, test, what"
1051,Manual,Technical,Hard,What is heuristic testing and when would you use it?,"Experience-based approach using rules of thumb, useful for exploratory testing and complex systems.","heuristic, testing, use, what, when, would"
1052,Automation,HR,Hard,How would you implement test automation in a team resistant to change?,"Start small, demonstrate value, involve team in decision making, provide training, and celebrate wins.","automation, change, how, implement, resistant, team, test, to, would"
1053,Manual,Technical,Easy,What is sanity testing versus smoke testing?,"Smoke tests basic functionality, sanity tests specific functionality after changes.","sanity, smoke, testing, versus, what"
1054,Automation,Technical,Easy,What is method overloading?,"When a class has more than one methods with the same name but different number, sequence or types of arguments then it is known as method overloading. Refer: Java – Method Overloading","between, difference, driver, stub, testing, what"
1055,Manual,HR,Medium,How do you approach testing when requirements change frequently?,"Maintain flexible test plans, use exploratory testing, prioritize critical paths, and communicate regularly.","approach, change, frequently, how, requirements, testing, when"
1056,Automation,Technical,Medium,What is static and dynamic binding in Java?,Binding refers to the linking of method call to its body. A binding that happens at compile time is known as static binding while binding at runtime is known as dynamic binding. Refer: Static and Dynamic binding in Java.,"are, ensure, how, maintainable, scripts, test, your"
1057,Manual,Technical,Medium,What is integration testing and how does it differ from unit testing?,"Integration testing checks interactions between components, unit testing checks individual components.","differ, does, from, how, integration, testing, unit, what"
1058,Automatiojn,HR,Easy,How do you document automated tests?,"Include purpose, requirements covered, preconditions, test steps, expected results, and maintenance notes.","automated, document, how, tests"
1059,Manual,Technical,Easy,What is the difference between retesting and regression testing?,"Retesting checks fixed defects, regression testing checks unintended side effects.","between, difference, regression, retesting, testing, what"
1060,Automation,Technical,Hard,What is Abstraction?,"Abstraction is a process of hiding the implementation details and showing only functionality to the user. In other words, it shows only essential things to the user and hides the internal details. We can achieve partial abstraction by using Abstract class. We can achieve 100% abstraction using Interfaces.
Realtime Examples of Abstraction in Java
1. We all use an ATM machine for cash withdrawal, money transfer, etc. in our daily life. But we don’t know internally what things are happening inside ATM machine when you insert an ATM card for performing any kind of operation.
2. When you need to send SMS from your mobile, you only type the text and send the message. But you don’t know the internal processing of the message delivery.
3. A bank clerk can see the customer details like name, account number, and balance amount in the account. But he cannot see sensitive data such as staff salaries, profit or loss of the bank, interest amount paid by the bank, and loan amounts, etc.","execution, how, implement, parallel, test"
1061,Manual,HR,Hard,How would you design a test strategy for a complex system?,"Consider requirements, risks, resources, timelines, types of testing needed, and measurement criteria.","complex, design, for, how, strategy, system, test, would"
1062,Automation,Technical,Medium,What is an abstract class in Java?,"An abstract class is a class which can’t be instantiated (we cannot create the object of abstract class), we can only extend such classes. It provides the generalised form that will be shared by all of its subclasses, leaving it to each subclass to fill in the details. We can achieve partial abstraction using abstract classes, to achieve full abstraction we use interfaces.","continuous, devops, in, testing, what"
1063,Manual,Technical,Hard,How do you test microservices architecture?,"Focus on API testing, service contracts, integration points, and end-to-end scenarios.","architecture, how, microservices, test"
1064,Automation,HR,Medium,What makes a good automation QA engineer?,"Technical skills, programming knowledge, testing mindset, communication abilities, and continuous learning.","automation, engineer, good, makes, qa, what"
